sentence,emo
50 найкращих ресторанів у Кардіффі в 2017 році,5
Святкуємо день народження Анни,5
чудова вечірка,5
пити вино,5
вона вже дуже п’яна,5
"подругу кинув хлопець, ідемо пити",5
хочу щоб в садку наливали червоне вино,5
пити рислінг і прокрастинувати,5
з Брі ідеально поєднується червоне напівсолодке,5
їсти сир з медом і запивати вином,5
сомельє,5
"""Вона купалася в вині"". Сім дивних фактів про трагічну, але щедра Шотландську королеву Марії",5
12:02 і ми вже отримали вино і закуски,5
Ці гаджети ідеально підходять для любителів вина,5
Здоров'я тисячоліття ведуть природну виноробну промисловість,5
дегустація винних сортів була дуже вдалою,5
Найкращі місця для відпочинку з глінтвейном,5
У Франції місто має приховане під своїм морем вино але не випадково,5
Винний перегляд: різниця між французькими та південноамериканськими мальбами,5
Альді повертає шоколадне вино своєчасно до Різдва,5
Англійські винороби піднімають келихи за урожай винограду,5
Ще однією причиною відвідування Вірменії - спробувати один з 12 кращих світових вин,5
Годинники повертаються і холодна погода,5
пити для заспокоєння нервів може посилити вашу тривогу,5
Форма винного келиху дійсно має значення,5
Вино і шоколад допоможуть вам жити довше,5
Осінні довгі вихідні читання,5
Французький винороб уперше випустив синій шардоне,5
"Тепер це офіційне, очевидно, органічне вино дійсно смачніше",5
"Солодке, напівсолодке чи сухе?",5
"Все що мені треба - шоколад, плед і склянка червоного напівсолодкого",5
Алкоголь - це не рішення,5
Пити вино - це ще треба навчитися,5
"Та куди ти так п'єш - це не шот, це вино",5
"Не курить, а також інші правила знати про куріння у вашому автомобілі",6
куріння вбиває,6
тютюновий дим і сум,6
хочу кинути цю погану звичку,6
після нас на балконі залишився тільки попіл,6
недопалки забруднюють довкілля,6
хороші хлопчики не курять,6
сигарети погано впливають на твою кровоносну систему,6
мій дідусь дуже багато палить,6
цигарки з ментолом дуже гидкі на смак,6
"Ніхто насправді не знає, що таке кальян для вашої легені",6
підліткове куріння знову стає популярним після десятиліть занепаду,6
Тютюнова фірма атакувала за рекламу для боротьби з курінням,6
Куріння звичайно існує поза шкільними воротами вашої дитини,6
Нью-Йоркці курять сигарети публічно,6
"Куріння небезпечно для вашого здоров'я. Цей місяць - це чудовий місяць щоб кинути палити, і ось де це почати",6
вживання алкоголю стає таким самим соціальним неприйнятним як паління,6
багато нікотину в твоїй крові дуже небезпечно,6
відсутність фізичного навантаження може бути для вас гіршим ніж палити,6
"Бо я вже давно не курю, і мені стає краще. Ех, але все ж легені іноді болять",6
У Британії пропонують продавати сигарети за рецептом ,6
"Палю все, що існує",6
без куріння просто виходити на балкон дивно,6
Я курю. зуби від цього жовтіють. хто знає спосіб як їх відбілити,6
Нормальні пацани курять без затягу,6
"Ну, шо, видеймо?",6
Сіжки то нормально,6
"Зрозуміла принади того, як круто жити однією, коли сиджу в туалеті, курю сигарету, у мене розетка біля туалету, і мені ніхто нічого не скаже",6
добраніч,7
солодких снів,7
хай тобі присняться рожеві слоники,7
я дуже стомлений іду в ліжко,7
гарної ночі,7
ми завжди засинаємо під час фільму,7
хочу поїсти і поспати,7
не хочу прокидатись,7
купив нову подушку,7
нудно дуже краще піду посплю,7
я відключився на парі,7
найважливіше в цьому житті - це сон,7
нарешті зможу поспати,7
"все, я спати",7
взагалі не цікаво,7
Я не можу заснути,7
Мені це подобається,8
У неї склалось чудове враження,8
Рекомендую відвідати це кафе!,8
Супер!,8
Сьогодні ти молодець,8
Прекрасний день,8
"Як на мене, тобі дуже пасує це плаття",8
Ти лайкнув моє нове фото?,8
У мене вже 200 вподобань на фото,8
Вона зробила правильне рішення,8
"Окей, домовились!",8
Гарно виглядаєш,8
Цілком з тобою погоджуюсь,8
"Стаття й справді цікава, рекомендую!",8
Погоджуюсь з тобою,8
В тебе досить непогано вийшло написати вірш,8
Це безперечно успіх!,8
М'ясо було дуже добре приготоване,8
Лайк іт!,8
Круто зроблено!,8
Ти робиш круту штуку!,8
Ти прям молодець,8
АІ це суперова штука,8
"Прикольно, що тобі подобається веб",8
"Добре, до зустрічі!",8
Гарний вибір,8
"Знаєш, мені це припало до душі",8
Тобто це ок?,8
"Рада, що в тебе все вийшло",8
Абсолютно згодна з його думкою,8
